state_id,Vantage_Score,Total_Debt,Debt_Income,Auto_Del,CC_Del,Mor_Del,Stu_Del,Auto_Debt,CC_Debt,Mor_Debt,Stu_Debt,income,state_population,score,abbr,grade
2,668,57850,101,2.414,5.826,0.756,10.326,5010,4270,41580,3740,57180,549520,6.333,AK,F
1,654,36060,88,5.750,7.681,1.144,13.390,4780,2370,21000,4610,40802,4124980,6.000,AL,A
4,657,32220,78,4.392,8.657,1.199,14.237,5240,2300,18200,4170,41063,2385160,6.333,AR,B
3,669,51300,122,4.570,9.538,0.882,12.509,4890,3140,35680,4890,42085,5378240,5.333,AZ,B
5,680,70100,117,3.626,8.370,0.722,10.046,4380,3420,54640,4330,60004,31228960,6.333,CA,F
6,688,68450,125,2.980,6.304,0.462,11.098,4630,3530,50900,5840,54561,4443240,6.333,CO,C
7,690,58860,82,2.615,6.836,1.996,9.459,3600,3730,41790,5660,72110,3049080,6.667,CT,F
8,672,53390,107,4.348,8.307,2.208,9.627,4750,3260,36840,5590,49925,799020,4.000,DE,F
10,668,43400,91,4.424,9.407,1.325,9.048,4960,3290,27120,4690,47701,17998500,6.333,FL,B
11,654,46730,106,5.518,7.645,1.053,12.847,5260,3130,28620,6750,44214,8419700,5.000,GA,B
12,693,71170,135,3.342,6.200,1.300,9.935,3650,3860,54680,3530,52910,1103340,5.333,HI,F
13,681,46270,111,2.222,6.553,0.658,11.984,4450,2740,31070,4720,41778,1346860,7.000,ID,B
14,683,45670,84,3.820,6.298,1.679,9.588,4090,3130,30260,5590,54271,10526580,6.667,IL,B
15,667,37210,82,4.480,6.464,1.205,13.747,4110,2500,22810,5060,45196,5454880,6.667,IN,C
17,680,37320,77,3.049,5.891,0.872,13.089,4000,2780,23330,5300,48600,2321580,8.333,KS,C
18,663,33660,83,4.373,7.089,1.276,15.279,3780,2280,20010,4640,40600,3675160,6.333,KY,C
19,650,36720,84,5.857,7.784,1.639,13.128,5550,2440,20820,5020,43786,3826080,5.000,LA,D
22,699,63070,93,2.057,6.639,1.318,7.039,3810,3490,45760,5980,67596,5675700,8.000,MA,F
21,672,70010,115,4.248,6.801,1.634,10.466,5110,3780,50900,6260,61123,5062440,4.333,MD,B
20,689,42080,91,2.527,6.425,1.995,9.116,4330,2750,26230,5270,46485,1186380,6.333,ME,B
24,709,53260,98,1.767,5.572,0.665,9.067,3950,3200,36950,6100,54442,4523120,9.000,MN,B
26,675,38420,85,4.049,7.296,0.915,13.402,4180,2620,23940,5140,45014,5074060,7.667,MO,A
25,647,30920,85,6.428,7.358,1.636,16.685,4840,2020,15230,5510,36567,2426060,5.000,MS,C
27,689,44200,98,3.089,5.982,0.728,10.300,4080,2840,29880,4360,45274,867560,7.667,MT,D
34,666,44780,101,5.173,7.428,1.233,12.450,4910,2880,28590,4950,44233,8289440,5.333,NC,B
35,697,42230,81,2.144,5.101,0.672,7.267,5020,2970,26100,5240,52284,599320,9.667,ND,B
30,701,54570,92,2.332,6.073,1.081,8.790,5220,3420,35930,5900,59360,1181920,8.333,NH,B
31,686,57830,88,3.087,7.304,2.715,8.963,3910,3910,40320,5720,65387,7584360,5.333,NJ,B
33,688,49030,75,3.381,8.325,2.801,8.756,3560,3710,32380,5810,65392,15685260,6.000,NY,B
39,687,41450,78,3.732,7.221,1.675,10.754,4000,3030,24980,5910,53363,10973260,7.333,PA,F
40,687,48850,92,2.511,7.592,1.669,10.056,3610,3240,33080,4910,52943,892760,6.667,RI,F
43,662,39880,88,4.156,7.086,0.910,13.573,4440,2480,24910,4760,45566,5583100,6.667,TN,A
44,656,41650,88,4.740,8.408,0.955,11.106,6520,3140,25030,4700,47332,21449840,6.000,TX,B
47,680,65050,118,3.191,6.097,0.854,10.129,4650,3760,47370,5550,55137,7061280,6.000,VA,A
51,678,46180,80,3.148,6.979,0.855,9.009,5240,2960,31910,3270,57384,464120,8.000,WY,D
